go_id,go_description,gene_ids,count_genes,category,GeneRatio,BgRatio
GO:0000122,negative regulation of transcription by RNA polymerase II,"['g_8', 'g_9686', 'g_9831', 'g_9846', 'g_10050', 'g_10455', 'g_10549', 'g_1056', 'g_1057', 'g_10597', 'g_10651', 'g_108', 'g_10908', 'g_10967', 'g_11040', 'g_11077', 'g_1124', 'g_11306', 'g_11383', 'g_11420', 'g_11428', 'g_11519', 'g_11620', 'g_11638', 'g_11785', 'g_11970', 'g_12187', 'g_12389', 'g_12412', 'g_12540', 'g_12545', 'g_12823', 'g_13121', 'g_13123', 'g_13210', 'g_13286', 'g_13458', 'g_13474', 'g_13633', 'g_13800', 'g_13875', 'g_13913', 'g_13944', 'g_13980', 'g_14072', 'g_14098', 'g_14432', 'g_14436', 'g_14610', 'g_14661', 'g_14822', 'g_14996', 'g_15013', 'g_1508', 'g_15126', 'g_15156', 'g_1639', 'g_1671', 'g_174', 'g_177', 'g_1947', 'g_1950', 'g_2030', 'g_2123', 'g_2150', 'g_2286', 'g_2299', 'g_2320', 'g_2330', 'g_2360', 'g_2433', 'g_2455', 'g_2474', 'g_2536', 'g_2702', 'g_2780', 'g_3003', 'g_306', 'g_3232', 'g_3431', 'g_3548', 'g_3559', 'g_375', 'g_3739', 'g_37', 'g_3779', 'g_386', 'g_4165', 'g_4344', 'g_4443', 'g_45', 'g_4559', 'g_4751', 'g_4809', 'g_4868', 'g_5031', 'g_524', 'g_5318', 'g_5423', 'g_5687', 'g_6058', 'g_6197', 'g_6323', 'g_6327', 'g_6384', 'g_6452', 'g_6587', 'g_6650', 'g_667', 'g_6883', 'g_6992', 'g_716', 'g_7254', 'g_7367', 'g_7398', 'g_7461', 'g_7522', 'g_7621', 'g_784', 'g_8078', 'g_8124', 'g_8129', 'g_8288', 'g_8376', 'g_842', 'g_8504', 'g_8535', 'g_8790', 'g_8804', 'g_8886', 'g_9051', 'g_9333', 'g_9378', 'g_9467', 'g_7868', 'g_3725', 'g_5185', 'g_15332', 'g_15379', 'g_9218', 'g_1757', 'g_16940', 'g_15449', 'g_13530', 'g_13626', 'g_1888', 'g_13739', 'g_14083', 'g_14545', 'g_14641', 'g_14892', 'g_15123', 'g_15261', 'g_7930', 'g_8596', 'g_8765', 'g_10335', 'g_10359', 'g_15577', 'g_11183', 'g_5654', 'g_5769', 'g_5874', 'g_3502', 'g_3718', 'g_3934', 'g_3947', 'g_2695', 'g_2767', 'g_2963', 'g_1140', 'g_344', 'g_418', 'g_453', 'g_617', 'g_1218', 'g_11459', 'g_12148', 'g_12372', 'g_4193', 'g_15347', 'g_4675', 'g_4796', 'g_4844']",184,biological_process,184/1892,184/1894
GO:0001725,stress fiber,"['g_8', 'g_10336', 'g_10529', 'g_11383', 'g_11566', 'g_12703', 'g_14461', 'g_2150', 'g_2765', 'g_3964', 'g_5062', 'g_7001', 'g_7445', 'g_7446', 'g_7561', 'g_7563', 'g_7774', 'g_851', 'g_8651', 'g_9339', 'g_9456', 'g_8491', 'g_57']",23,cellular_component,23/1892,23/1894
GO:0005768,endosome,"['g_8', 'g_9661', 'g_9886', 'g_10268', 'g_10374', 'g_10635', 'g_10847', 'g_10855', 'g_11545', 'g_11645', 'g_12188', 'g_12374', 'g_1241', 'g_12436', 'g_1246', 'g_12700', 'g_12703', 'g_13559', 'g_13913', 'g_13970', 'g_13971', 'g_14027', 'g_14424', 'g_14551', 'g_14716', 'g_1630', 'g_1903', 'g_2123', 'g_2238', 'g_2395', 'g_2510', 'g_2627', 'g_2691', 'g_2920', 'g_3176', 'g_324', 'g_3269', 'g_3294', 'g_3386', 'g_3472', 'g_3485', 'g_3853', 'g_3924', 'g_3983', 'g_4020', 'g_4444', 'g_4753', 'g_4973', 'g_5054', 'g_555', 'g_5697', 'g_5988', 'g_6016', 'g_62', 'g_6285', 'g_6813', 'g_7326', 'g_8116', 'g_8219', 'g_16926', 'g_9467', 'g_962', 'g_7175', 'g_13766', 'g_7059', 'g_15449', 'g_13064', 'g_15272', 'g_2109', 'g_15862', 'g_15436', 'g_10543', 'g_15671', 'g_12686', 'g_4360', 'g_4510']",76,cellular_component,76/1892,76/1894
GO:0005783,endoplasmic reticulum,"['g_8', 'g_9734', 'g_9844', 'g_9856', 'g_9886', 'g_9931', 'g_10099', 'g_1014', 'g_10217', 'g_10218', 'g_10263', 'g_10264', 'g_10288', 'g_10418', 'g_10428', 'g_10437', 'g_10440', 'g_10597', 'g_10674', 'g_10700', 'g_10761', 'g_10774', 'g_10791', 'g_10824', 'g_10862', 'g_10923', 'g_10934', 'g_11005', 'g_11040', 'g_11147', 'g_11158', 'g_11211', 'g_1124', 'g_11383', 'g_11424', 'g_11428', 'g_1142', 'g_11511', 'g_11640', 'g_11702', 'g_11769', 'g_11772', 'g_11774', 'g_11803', 'g_11840', 'g_1184', 'g_11904', 'g_11957', 'g_11970', 'g_1196', 'g_11988', 'g_12005', 'g_12029', 'g_12051', 'g_12134', 'g_12146', 'g_12164', 'g_12265', 'g_12268', 'g_12363', 'g_12604', 'g_1264', 'g_12693', 'g_12700', 'g_12703', 'g_12823', 'g_12890', 'g_1288', 'g_13016', 'g_13165', 'g_13216', 'g_13236', 'g_13246', 'g_13390', 'g_13437', 'g_13499', 'g_1354', 'g_13639', 'g_1362', 'g_13647', 'g_13763', 'g_13913', 'g_13957', 'g_14072', 'g_1407', 'g_14157', 'g_14168', 'g_143', 'g_14250', 'g_14274', 'g_14282', 'g_14299', 'g_14396', 'g_14415', 'g_14420', 'g_14464', 'g_146', 'g_14493', 'g_14501', 'g_14579', 'g_14642', 'g_14645', 'g_14706', 'g_14716', 'g_14717', 'g_14750', 'g_14813', 'g_14818', 'g_14826', 'g_1480', 'g_14841', 'g_14882', 'g_14967', 'g_14971', 'g_15013', 'g_1501', 'g_15146', 'g_15176', 'g_15235', 'g_15256', 'g_160', 'g_1593', 'g_1599', 'g_163', 'g_1630', 'g_1729', 'g_176', 'g_177', 'g_1755', 'g_1802', 'g_1831', 'g_1833', 'g_1887', 'g_1903', 'g_2023', 'g_2120', 'g_2246', 'g_2322', 'g_2348', 'g_2364', 'g_2407', 'g_2411', 'g_2442', 'g_2510', 'g_2563', 'g_2574', 'g_2750', 'g_281', 'g_2801', 'g_2866', 'g_2868', 'g_297', 'g_299', 'g_3098', 'g_3101', 'g_3141', 'g_3159', 'g_3184', 'g_3214', 'g_326', 'g_3269', 'g_3332', 'g_343', 'g_3485', 'g_3516', 'g_3562', 'g_363', 'g_365', 'g_3740', 'g_3754', 'g_3780', 'g_3811', 'g_386', 'g_3853', 'g_3856', 'g_3894', 'g_3895', 'g_3896', 'g_3902', 'g_3924', 'g_3961', 'g_4055', 'g_419', 'g_431', 'g_436', 'g_4444', 'g_4466', 'g_4561', 'g_4608', 'g_4618', 'g_4657', 'g_4669', 'g_4727', 'g_4741', 'g_484', 'g_4854', 'g_4868', 'g_4871', 'g_4975', 'g_5034', 'g_5066', 'g_5081', 'g_5082', 'g_5084', 'g_5102', 'g_5117', 'g_516', 'g_518', 'g_5216', 'g_5293', 'g_5359', 'g_5373', 'g_5437', 'g_5451', 'g_5456', 'g_5563', 'g_5615', 'g_5651', 'g_5697', 'g_574', 'g_5719', 'g_5727', 'g_5757', 'g_5787', 'g_5955', 'g_603', 'g_5999', 'g_6000', 'g_613', 'g_6134', 'g_6154', 'g_6243', 'g_629', 'g_6258', 'g_6282', 'g_6387', 'g_6481', 'g_650', 'g_6587', 'g_6588', 'g_6703', 'g_6711', 'g_6751', 'g_6767', 'g_6774', 'g_6813', 'g_6874', 'g_6899', 'g_6905', 'g_7076', 'g_716', 'g_7199', 'g_725', 'g_7233', 'g_7256', 'g_7259', 'g_7349', 'g_7356', 'g_7373', 'g_7417', 'g_7428', 'g_7432', 'g_7504', 'g_7561', 'g_7570', 'g_7615', 'g_7620', 'g_6', 'g_7717', 'g_7739', 'g_7770', 'g_7916', 'g_16918', 'g_7974', 'g_8042', 'g_8078', 'g_8136', 'g_8176', 'g_8191', 'g_8226', 'g_8227', 'g_8238', 'g_8241', 'g_8314', 'g_8327', 'g_8347', 'g_8361', 'g_8376', 'g_8428', 'g_8436', 'g_8480', 'g_8485', 'g_8570', 'g_8646', 'g_868', 'g_8703', 'g_8725', 'g_8781', 'g_8832', 'g_8898', 'g_8984', 'g_9146', 'g_9270', 'g_9274', 'g_932', 'g_9375', 'g_9425', 'g_9431', 'g_9439', 'g_9577', 'g_9578', 'g_15062', 'g_4949', 'g_7175', 'g_7355', 'g_10760', 'g_532', 'g_16875', 'g_3725', 'g_11000', 'g_6910', 'g_6294', 'g_7283', 'g_16721', 'g_4940', 'g_16883', 'g_5168', 'g_5178', 'g_5227', 'g_5599', 'g_6386', 'g_6405', 'g_15596', 'g_15535', 'g_6789', 'g_6823', 'g_15445', 'g_6989', 'g_7212', 'g_7213', 'g_15313', 'g_7701', 'g_7772', 'g_15379', 'g_9218', 'g_9412', 'g_9426', 'g_9765', 'g_15449', 'g_15283', 'g_15428', 'g_13185', 'g_15637', 'g_13441', 'g_15679', 'g_13525', 'g_13541', 'g_14260', 'g_14265', 'g_14745', 'g_15572', 'g_14929', 'g_8346', 'g_8545', 'g_15588', 'g_8771', 'g_10219', 'g_10277', 'g_10335', 'g_15747', 'g_10555', 'g_10742', 'g_10834', 'g_10979', 'g_15650', 'g_11095', 'g_2363', 'g_2449', 'g_843', 'g_15601', 'g_3424', 'g_965', 'g_3473', 'g_3502', 'g_3619', 'g_3818', 'g_3854', 'g_2706', 'g_15620', 'g_3080', 'g_15716', 'g_336', 'g_517', 'g_638', 'g_11598', 'g_15575', 'g_1280', 'g_11913', 'g_15551', 'g_12211', 'g_12364', 'g_12461', 'g_12568', 'g_12648', 'g_12686', 'g_4040', 'g_15357', 'g_15347', 'g_4796', 'g_15494']",410,cellular_component,410/1892,410/1894
GO:0005794,Golgi apparatus,"['g_8', 'g_9651', 'g_9661', 'g_9686', 'g_9715', 'g_9749', 'g_9779', 'g_9802', 'g_9846', 'g_9886', 'g_10002', 'g_10099', 'g_10101', 'g_10136', 'g_10203', 'g_10217', 'g_10268', 'g_10288', 'g_10374', 'g_10401', 'g_10418', 'g_10428', 'g_10514', 'g_10547', 'g_10632', 'g_10635', 'g_10674', 'g_10700', 'g_1073', 'g_10791', 'g_10823', 'g_108', 'g_10923', 'g_11005', 'g_11040', 'g_11102', 'g_11339', 'g_11383', 'g_16952', 'g_11428', 'g_1142', 'g_11545', 'g_11549', 'g_11634', 'g_11769', 'g_11772', 'g_11870', 'g_11970', 'g_11988', 'g_12132', 'g_12134', 'g_12265', 'g_12335', 'g_12604', 'g_12700', 'g_12703', 'g_12736', 'g_12890', 'g_12907', 'g_13133', 'g_13137', 'g_13236', 'g_13246', 'g_13340', 'g_13390', 'g_13404', 'g_13434', 'g_13509', 'g_13559', 'g_1354', 'g_13614', 'g_1362', 'g_13664', 'g_13813', 'g_13957', 'g_13970', 'g_1407', 'g_14157', 'g_14274', 'g_14282', 'g_14343', 'g_16984', 'g_14396', 'g_14420', 'g_14424', 'g_14436', 'g_146', 'g_14501', 'g_1449', 'g_14529', 'g_14595', 'g_14645', 'g_14750', 'g_14783', 'g_14818', 'g_14873', 'g_14893', 'g_14912', 'g_14965', 'g_15126', 'g_15164', 'g_15176', 'g_15231', 'g_15235', 'g_1593', 'g_1630', 'g_1662', 'g_173', 'g_174', 'g_1830', 'g_1831', 'g_1833', 'g_1852', 'g_2008', 'g_2246', 'g_2299', 'g_2322', 'g_2330', 'g_2348', 'g_2395', 'g_2408', 'g_2510', 'g_2550', 'g_2592', 'g_2672', 'g_2713', 'g_2750', 'g_281', 'g_2801', 'g_2842', 'g_2877', 'g_2920', 'g_2932', 'g_3057', 'g_3098', 'g_3159', 'g_3184', 'g_3211', 'g_3332', 'g_343', 'g_3472', 'g_3559', 'g_3562', 'g_3670', 'g_371', 'g_3740', 'g_3775', 'g_3780', 'g_386', 'g_3853', 'g_3856', 'g_3894', 'g_3902', 'g_3924', 'g_3961', 'g_3983', 'g_41', 'g_4148', 'g_4175', 'g_436', 'g_4371', 'g_4443', 'g_4476', 'g_4618', 'g_4727', 'g_4728', 'g_4741', 'g_4753', 'g_4809', 'g_484', 'g_4849', 'g_4854', 'g_4871', 'g_4904', 'g_5081', 'g_5082', 'g_5084', 'g_5102', 'g_50', 'g_5143', 'g_5146', 'g_5341', 'g_5456', 'g_5473', 'g_555', 'g_5535', 'g_5556', 'g_5563', 'g_5672', 'g_5679', 'g_5697', 'g_5727', 'g_603', 'g_5999', 'g_6000', 'g_6016', 'g_6072', 'g_6095', 'g_6243', 'g_629', 'g_6258', 'g_6282', 'g_6287', 'g_6329', 'g_6331', 'g_6430', 'g_6767', 'g_6813', 'g_6818', 'g_684', 'g_689', 'g_6899', 'g_6988', 'g_706', 'g_7076', 'g_7090', 'g_7141', 'g_716', 'g_7233', 'g_7259', 'g_7319', 'g_7373', 'g_7463', 'g_7504', 'g_7539', 'g_7563', 'g_7570', 'g_7847', 'g_7944', 'g_7974', 'g_8070', 'g_8123', 'g_8200', 'g_8207', 'g_8219', 'g_8262', 'g_8325', 'g_8347', 'g_8364', 'g_8428', 'g_8570', 'g_8574', 'g_8620', 'g_868', 'g_8673', 'g_8739', 'g_8761', 'g_8820', 'g_8898', 'g_8975', 'g_8984', 'g_9140', 'g_9146', 'g_9221', 'g_9255', 'g_932', 'g_9349', 'g_9366', 'g_962', 'g_15062', 'g_10126', 'g_2764', 'g_532', 'g_16875', 'g_3725', 'g_11000', 'g_16883', 'g_5227', 'g_15604', 'g_6651', 'g_6652', 'g_7059', 'g_7246', 'g_7330', 'g_9164', 'g_9372', 'g_9412', 'g_9543', 'g_9634', 'g_10060', 'g_15622', 'g_15283', 'g_15428', 'g_13776', 'g_15461', 'g_14260', 'g_14745', 'g_15191', 'g_8043', 'g_8545', 'g_15550', 'g_15588', 'g_10335', 'g_15436', 'g_10386', 'g_10543', 'g_10741', 'g_10742', 'g_11041', 'g_2331', 'g_2440', 'g_2449', 'g_898', 'g_6083', 'g_3424', 'g_965', 'g_3517', 'g_3619', 'g_3818', 'g_4012', 'g_2549', 'g_2706', 'g_3080', 'g_453', 'g_517', 'g_638', 'g_11753', 'g_12101', 'g_12211', 'g_12324', 'g_12806', 'g_4040', 'g_15506', 'g_4510', 'g_15495']",325,cellular_component,325/1892,325/1894
GO:0005814,centriole,"['g_8', 'g_9715', 'g_10199', 'g_11339', 'g_11348', 'g_12136', 'g_12583', 'g_13016', 'g_13437', 'g_1343', 'g_14441', 'g_14728', 'g_15228', 'g_1686', 'g_2040', 'g_2111', 'g_2120', 'g_2340', 'g_2850', 'g_3003', 'g_3085', 'g_3701', 'g_412', 'g_425', 'g_5222', 'g_5719', 'g_6078', 'g_6287', 'g_7141', 'g_7181', 'g_7373', 'g_7444', 'g_7461', 'g_7815', 'g_7847', 'g_8067', 'g_8070', 'g_8145', 'g_8242', 'g_841', 'g_8455', 'g_878', 'g_8978', 'g_9216', 'g_9267', 'g_9298', 'g_9375', 'g_7139', 'g_12267', 'g_5284', 'g_6405', 'g_10065', 'g_8506', 'g_11221', 'g_2326', 'g_3515', 'g_2590', 'g_1140', 'g_418', 'g_477', 'g_645', 'g_11516', 'g_1451']",63,cellular_component,63/1892,63/1894
GO:0005912,adherens junction,"['g_8', 'g_96', 'g_9796', 'g_10034', 'g_10212', 'g_10338', 'g_1050', 'g_10529', 'g_10597', 'g_10674', 'g_10899', 'g_108', 'g_11070', 'g_1107', 'g_11306', 'g_11308', 'g_11563', 'g_11566', 'g_11970', 'g_12001', 'g_12269', 'g_12535', 'g_12901', 'g_13112', 'g_13198', 'g_13286', 'g_13380', 'g_13707', 'g_16984', 'g_14420', 'g_14461', 'g_146', 'g_14645', 'g_1593', 'g_1728', 'g_1830', 'g_1887', 'g_1921', 'g_1922', 'g_2008', 'g_2163', 'g_2563', 'g_2616', 'g_2670', 'g_2723', 'g_2724', 'g_2765', 'g_2801', 'g_3153', 'g_343', 'g_3512', 'g_3525', 'g_3605', 'g_3634', 'g_3732', 'g_3740', 'g_3755', 'g_3813', 'g_3895', 'g_3953', 'g_4020', 'g_4099', 'g_4753', 'g_4809', 'g_4842', 'g_5510', 'g_5842', 'g_6000', 'g_6001', 'g_6040', 'g_6098', 'g_6282', 'g_6511', 'g_6565', 'g_6593', 'g_6690', 'g_6866', 'g_7233', 'g_7259', 'g_7319', 'g_7432', 'g_7445', 'g_7608', 'g_7609', 'g_779', 'g_7774', 'g_16918', 'g_8060', 'g_8067', 'g_8111', 'g_8124', 'g_8136', 'g_8191', 'g_8360', 'g_8428', 'g_8607', 'g_8651', 'g_8722', 'g_8886', 'g_8898', 'g_9074', 'g_9143', 'g_9339', 'g_9378', 'g_9439', 'g_9456', 'g_9467', 'g_15062', 'g_4489', 'g_9693', 'g_5262', 'g_6594', 'g_1657', 'g_9035', 'g_9329', 'g_9961', 'g_15637', 'g_15679', 'g_15261', 'g_7888', 'g_8282', 'g_8545', 'g_15588', 'g_8851', 'g_15451', 'g_10834', 'g_5653', 'g_3399', 'g_3921', 'g_15620', 'g_3130', 'g_57', 'g_517', 'g_12533', 'g_12691', 'g_4590', 'g_4884']",137,cellular_component,137/1892,137/1894
GO:0007098,centrosome cycle,"['g_8', 'g_10002', 'g_10199', 'g_11003', 'g_11339', 'g_11348', 'g_12091', 'g_12092', 'g_12136', 'g_12155', 'g_1343', 'g_13800', 'g_14728', 'g_14813', 'g_15266', 'g_1922', 'g_2850', 'g_293', 'g_3003', 'g_3289', 'g_5431', 'g_6078', 'g_6587', 'g_7141', 'g_7847', 'g_8070', 'g_8145', 'g_8242', 'g_8455', 'g_852', 'g_855', 'g_856', 'g_878', 'g_9216', 'g_9221', 'g_5284', 'g_14892', 'g_15049', 'g_418', 'g_645']",40,biological_process,40/1892,40/1894
GO:0007099,centriole replication,"['g_8', 'g_10050', 'g_11003', 'g_12136', 'g_13016', 'g_13133', 'g_13390', 'g_13437', 'g_1343', 'g_13668', 'g_2111', 'g_2672', 'g_2850', 'g_2866', 'g_3003', 'g_3085', 'g_3701', 'g_412', 'g_5222', 'g_5719', 'g_6992', 'g_7001', 'g_7256', 'g_7461', 'g_7847', 'g_8070', 'g_8145', 'g_8241', 'g_8493', 'g_878', 'g_7139', 'g_15272', 'g_3716']",33,biological_process,33/1892,33/1894
GO:0007140,male meiotic nuclear division,"['g_8', 'g_10440', 'g_10824', 'g_11070', 'g_11308', 'g_1339', 'g_2120', 'g_2123', 'g_2135', 'g_2850', 'g_3003', 'g_3211', 'g_3803', 'g_41', 'g_842', 'g_878', 'g_8781', 'g_9143', 'g_9345', 'g_5185', 'g_8765', 'g_2326']",22,biological_process,22/1892,22/1894
