go_id,go_description,gene_ids,count_genes,category,GeneRatio,BgRatio
GO:0000122,negative regulation of transcription by RNA polymerase II,"['g_8', 'g_9781', 'g_9794', 'g_9831', 'g_9846', 'g_9859', 'g_10050', 'g_1017', 'g_10314', 'g_10339', 'g_10366', 'g_10455', 'g_16832', 'g_10840', 'g_10908', 'g_10935', 'g_10950', 'g_10967', 'g_11034', 'g_11040', 'g_11057', 'g_1119', 'g_11347', 'g_11428', 'g_11468', 'g_11567', 'g_11764', 'g_11970', 'g_12094', 'g_12158', 'g_12166', 'g_12201', 'g_12275', 'g_12412', 'g_12474', 'g_12540', 'g_11', 'g_12614', 'g_12628', 'g_12655', 'g_1274', 'g_12775', 'g_1277', 'g_12786', 'g_12823', 'g_13121', 'g_13211', 'g_13273', 'g_13363', 'g_13474', 'g_13552', 'g_13636', 'g_13759', 'g_13800', 'g_13913', 'g_1389', 'g_13980', 'g_14002', 'g_14161', 'g_14165', 'g_14284', 'g_14287', 'g_14313', 'g_14436', 'g_14513', 'g_14548', 'g_14760', 'g_14822', 'g_15013', 'g_1508', 'g_15120', 'g_15122', 'g_157', 'g_1567', 'g_1643', 'g_1671', 'g_174', 'g_177', 'g_1807', 'g_1836', 'g_1858', 'g_1928', 'g_2104', 'g_2194', 'g_2205', 'g_2455', 'g_2536', 'g_2975', 'g_2983', 'g_3003', 'g_306', 'g_3165', 'g_322', 'g_3431', 'g_3480', 'g_3504', 'g_3548', 'g_3639', 'g_3739', 'g_3862', 'g_3925', 'g_4074', 'g_4120', 'g_4156', 'g_4166', 'g_4346', 'g_4419', 'g_45', 'g_4537', 'g_4642', 'g_4751', 'g_4780', 'g_4809', 'g_5006', 'g_507', 'g_5052', 'g_513', 'g_5145', 'g_5224', 'g_565', 'g_5925', 'g_5985', 'g_6006', 'g_6262', 'g_6323', 'g_6384', 'g_6587', 'g_6649', 'g_6650', 'g_6734', 'g_6917', 'g_6992', 'g_6998', 'g_7217', 'g_7218', 'g_7250', 'g_7325', 'g_7567', 'g_7727', 'g_8065', 'g_8124', 'g_8128', 'g_8129', 'g_8162', 'g_8288', 'g_8299', 'g_8376', 'g_8378', 'g_8421', 'g_8504', 'g_8535', 'g_8551', 'g_8568', 'g_8569', 'g_8697', 'g_8702', 'g_8729', 'g_8753', 'g_8804', 'g_8884', 'g_8886', 'g_8991', 'g_9075', 'g_9467', 'g_16991', 'g_3486', 'g_1187', 'g_3672', 'g_1467', 'g_5185', 'g_5519', 'g_6851', 'g_6893', 'g_16906', 'g_7113', 'g_7158', 'g_15332', 'g_9242', 'g_1737', 'g_9885', 'g_9992', 'g_13530', 'g_13739', 'g_15370', 'g_14083', 'g_14545', 'g_14641', 'g_14892', 'g_15261', 'g_7930', 'g_8596', 'g_10163', 'g_10315', 'g_10335', 'g_10359', 'g_15577', 'g_10795', 'g_10830', 'g_11104', 'g_11124', 'g_5654', 'g_5769', 'g_3379', 'g_3394', 'g_3718', 'g_3798', 'g_3934', 'g_3947', 'g_2659', 'g_2695', 'g_2804', 'g_2963', 'g_1140', 'g_418', 'g_453', 'g_11531', 'g_11586', 'g_12368', 'g_12372', 'g_12765', 'g_4061', 'g_4429', 'g_4874']",223,biological_process,223/1842,223/1844
GO:0001725,stress fiber,"['g_8', 'g_10529', 'g_1119', 'g_11395', 'g_11566', 'g_12242', 'g_12703', 'g_12908', 'g_13554', 'g_14461', 'g_2765', 'g_3703', 'g_3964', 'g_5949', 'g_7445', 'g_7774', 'g_851', 'g_8651', 'g_8702', 'g_9339', 'g_9929', 'g_10051', 'g_8491']",23,cellular_component,23/1842,23/1844
GO:0005768,endosome,"['g_8', 'g_9661', 'g_9886', 'g_10369', 'g_10374', 'g_10777', 'g_10847', 'g_10855', 'g_11545', 'g_11645', 'g_11999', 'g_12030', 'g_12180', 'g_12273', 'g_12308', 'g_12436', 'g_1246', 'g_12628', 'g_12700', 'g_12703', 'g_12766', 'g_13242', 'g_13484', 'g_13745', 'g_13913', 'g_14027', 'g_14028', 'g_14551', 'g_14716', 'g_1630', 'g_1996', 'g_207', 'g_2207', 'g_2901', 'g_3109', 'g_3176', 'g_324', 'g_3269', 'g_3294', 'g_3323', 'g_3799', 'g_3816', 'g_3853', 'g_3865', 'g_3924', 'g_4020', 'g_4128', 'g_4444', 'g_4548', 'g_5054', 'g_5226', 'g_5536', 'g_5832', 'g_6016', 'g_6285', 'g_6324', 'g_6724', 'g_6813', 'g_6998', 'g_714', 'g_7326', 'g_7528', 'g_8146', 'g_8198', 'g_8219', 'g_8543', 'g_16926', 'g_8945', 'g_9007', 'g_9467', 'g_7178', 'g_5703', 'g_1187', 'g_13766', 'g_6512', 'g_7059', 'g_15346', 'g_9929', 'g_10067', 'g_13064', 'g_13496', 'g_16977', 'g_14735', 'g_8004', 'g_8164', 'g_2109', 'g_15436', 'g_10543', 'g_15671', 'g_3573', 'g_11986', 'g_12255', 'g_12686', 'g_4061', 'g_4208', 'g_4360']",96,cellular_component,96/1842,96/1844
GO:0005783,endoplasmic reticulum,"['g_8', 'g_9645', 'g_9856', 'g_986', 'g_987', 'g_9886', 'g_9931', 'g_10022', 'g_10140', 'g_1017', 'g_10263', 'g_10418', 'g_10437', 'g_10484', 'g_10509', 'g_10570', 'g_10586', 'g_10614', 'g_10770', 'g_10777', 'g_1077', 'g_1078', 'g_10824', 'g_10905', 'g_10934', 'g_10945', 'g_11034', 'g_11040', 'g_11147', 'g_11158', 'g_11294', 'g_11295', 'g_11428', 'g_1142', 'g_11511', 'g_11537', 'g_11640', 'g_11702', 'g_11804', 'g_11840', 'g_1184', 'g_11867', 'g_11904', 'g_11927', 'g_11956', 'g_11970', 'g_1196', 'g_12014', 'g_12029', 'g_12030', 'g_12051', 'g_12142', 'g_12146', 'g_12170', 'g_12181', 'g_12196', 'g_12218', 'g_12268', 'g_12273', 'g_12348', 'g_1237', 'g_12402', 'g_12447', 'g_12565', 'g_12612', 'g_12700', 'g_12703', 'g_12757', 'g_12823', 'g_1288', 'g_1289', 'g_13016', 'g_13165', 'g_13188', 'g_13216', 'g_13274', 'g_13345', 'g_13390', 'g_13437', 'g_13484', 'g_13499', 'g_13552', 'g_13554', 'g_1354', 'g_13590', 'g_13622', 'g_13763', 'g_13799', 'g_13913', 'g_13921', 'g_13957', 'g_13972', 'g_14000', 'g_14028', 'g_14077', 'g_1407', 'g_14157', 'g_14168', 'g_14196', 'g_14209', 'g_14250', 'g_14274', 'g_14282', 'g_14299', 'g_14396', 'g_14410', 'g_14462', 'g_14464', 'g_14501', 'g_1453', 'g_14642', 'g_14645', 'g_14706', 'g_14716', 'g_14717', 'g_14813', 'g_14818', 'g_14841', 'g_14882', 'g_14923', 'g_15013', 'g_1501', 'g_15120', 'g_15146', 'g_15176', 'g_15235', 'g_15249', 'g_15256', 'g_1579', 'g_160', 'g_1599', 'g_163', 'g_1630', 'g_177', 'g_1833', 'g_1887', 'g_2023', 'g_2035', 'g_2053', 'g_2064', 'g_2104', 'g_2120', 'g_2207', 'g_2252', 'g_2290', 'g_2318', 'g_2348', 'g_236', 'g_2407', 'g_2411', 'g_2443', 'g_2624', 'g_2684', 'g_2715', 'g_2866', 'g_2869', 'g_2901', 'g_2902', 'g_2950', 'g_3101', 'g_3128', 'g_3141', 'g_3150', 'g_3165', 'g_3214', 'g_326', 'g_3269', 'g_3332', 'g_3359', 'g_3419', 'g_3509', 'g_3516', 'g_3562', 'g_363', 'g_365', 'g_3671', 'g_3690', 'g_3740', 'g_3746', 'g_3754', 'g_3799', 'g_3800', 'g_3853', 'g_3865', 'g_3894', 'g_3895', 'g_3896', 'g_3922', 'g_3924', 'g_3925', 'g_3945', 'g_3990', 'g_416', 'g_4156', 'g_4170', 'g_4419', 'g_4444', 'g_4466', 'g_4537', 'g_4548', 'g_4618', 'g_4632', 'g_4657', 'g_4681', 'g_4741', 'g_4742', 'g_4791', 'g_4871', 'g_5034', 'g_5066', 'g_5091', 'g_5093', 'g_5102', 'g_5128', 'g_5175', 'g_5359', 'g_5437', 'g_5453', 'g_5467', 'g_5536', 'g_5651', 'g_5727', 'g_5832', 'g_5957', 'g_6000', 'g_6041', 'g_6045', 'g_6077', 'g_6172', 'g_6186', 'g_6244', 'g_6258', 'g_6270', 'g_6282', 'g_6481', 'g_650', 'g_6587', 'g_6588', 'g_6649', 'g_6813', 'g_6874', 'g_6901', 'g_7145', 'g_7199', 'g_7211', 'g_725', 'g_7233', 'g_727', 'g_7256', 'g_7259', 'g_7356', 'g_7373', 'g_7417', 'g_7432', 'g_7525', 'g_7528', 'g_7565', 'g_7566', 'g_7615', 'g_7641', 'g_7681', 'g_7682', 'g_6', 'g_7739', 'g_7886', 'g_7916', 'g_7947', 'g_7974', 'g_8048', 'g_8065', 'g_8136', 'g_8157', 'g_8191', 'g_8226', 'g_8227', 'g_8241', 'g_8376', 'g_844', 'g_8436', 'g_8480', 'g_8508', 'g_8521', 'g_8543', 'g_8550', 'g_8551', 'g_8570', 'g_8580', 'g_8587', 'g_8723', 'g_8725', 'g_8791', 'g_8884', 'g_8898', 'g_8923', 'g_8956', 'g_9083', 'g_9097', 'g_9102', 'g_932', 'g_9314', 'g_9379', 'g_9402', 'g_9440', 'g_9481', 'g_9509', 'g_9567', 'g_9578', 'g_6959', 'g_12430', 'g_16875', 'g_7514', 'g_5703', 'g_11000', 'g_11002', 'g_16646', 'g_6910', 'g_6294', 'g_12013', 'g_5168', 'g_5178', 'g_6823', 'g_15445', 'g_6991', 'g_7171', 'g_7701', 'g_7772', 'g_15732', 'g_9276', 'g_9412', 'g_9426', 'g_1746', 'g_9765', 'g_9799', 'g_10067', 'g_15283', 'g_13185', 'g_13301', 'g_1857', 'g_1856', 'g_13441', 'g_16977', 'g_15725', 'g_13895', 'g_14260', 'g_14356', 'g_14929', 'g_15771', 'g_799', 'g_7849', 'g_7976', 'g_8346', 'g_15588', 'g_10277', 'g_10335', 'g_15747', 'g_10979', 'g_11019', 'g_11095', 'g_11124', 'g_843', 'g_5816', 'g_6026', 'g_15601', 'g_3358', 'g_3379', 'g_965', 'g_3573', 'g_3619', 'g_3808', 'g_16830', 'g_2674', 'g_2706', 'g_517', 'g_638', 'g_11586', 'g_11598', 'g_11603', 'g_1280', 'g_15551', 'g_12211', 'g_12255', 'g_16962', 'g_12461', 'g_15480', 'g_12568', 'g_12686', 'g_12705', 'g_12872', 'g_4145', 'g_15357', 'g_4703', 'g_4872']",392,cellular_component,392/1842,392/1844
GO:0005794,Golgi apparatus,"['g_8', 'g_9645', 'g_9651', 'g_9661', 'g_9715', 'g_9749', 'g_9805', 'g_9846', 'g_986', 'g_987', 'g_9886', 'g_9955', 'g_10022', 'g_10136', 'g_10330', 'g_10333', 'g_10374', 'g_10401', 'g_10403', 'g_10406', 'g_10418', 'g_10514', 'g_10547', 'g_10586', 'g_10632', 'g_10675', 'g_1073', 'g_10777', 'g_10823', 'g_10840', 'g_10950', 'g_11034', 'g_11040', 'g_11339', 'g_11349', 'g_11428', 'g_1142', 'g_11545', 'g_11567', 'g_11927', 'g_11964', 'g_11970', 'g_12144', 'g_12180', 'g_12218', 'g_12308', 'g_12335', 'g_12447', 'g_12700', 'g_12703', 'g_12736', 'g_12757', 'g_12907', 'g_13137', 'g_13149', 'g_13234', 'g_13242', 'g_1327', 'g_13390', 'g_13404', 'g_13552', 'g_1354', 'g_13590', 'g_13614', 'g_13623', 'g_13740', 'g_13745', 'g_13813', 'g_13957', 'g_13959', 'g_14028', 'g_1407', 'g_14157', 'g_14165', 'g_14274', 'g_14282', 'g_14287', 'g_14343', 'g_16984', 'g_14396', 'g_14436', 'g_14462', 'g_14500', 'g_14501', 'g_1453', 'g_14631', 'g_14645', 'g_14783', 'g_14818', 'g_14873', 'g_14893', 'g_14923', 'g_15124', 'g_15164', 'g_15176', 'g_15235', 'g_15249', 'g_1567', 'g_1630', 'g_1662', 'g_173', 'g_174', 'g_1767', 'g_1833', 'g_1852', 'g_1928', 'g_2035', 'g_2102', 'g_2104', 'g_2252', 'g_2290', 'g_2317', 'g_2318', 'g_2348', 'g_2408', 'g_2430', 'g_2615', 'g_2672', 'g_2713', 'g_2715', 'g_2877', 'g_2901', 'g_3058', 'g_3211', 'g_3267', 'g_3332', 'g_3359', 'g_3509', 'g_3562', 'g_3576', 'g_3631', 'g_3670', 'g_3740', 'g_3853', 'g_3894', 'g_3924', 'g_3925', 'g_3985', 'g_4148', 'g_4170', 'g_4371', 'g_4419', 'g_4476', 'g_4548', 'g_4618', 'g_4642', 'g_4676', 'g_4681', 'g_4685', 'g_4741', 'g_4791', 'g_4809', 'g_485', 'g_4849', 'g_4871', 'g_4904', 'g_5025', 'g_5093', 'g_5102', 'g_50', 'g_5146', 'g_5148', 'g_5192', 'g_5341', 'g_5473', 'g_5727', 'g_5832', 'g_5883', 'g_5949', 'g_6000', 'g_6016', 'g_6041', 'g_6072', 'g_6095', 'g_6258', 'g_6282', 'g_6324', 'g_6430', 'g_6649', 'g_6813', 'g_6814', 'g_6818', 'g_684', 'g_6901', 'g_6916', 'g_6988', 'g_706', 'g_7142', 'g_7162', 'g_7233', 'g_727', 'g_7259', 'g_7373', 'g_7539', 'g_7584', 'g_7637', 'g_7841', 'g_7944', 'g_7974', 'g_8123', 'g_8128', 'g_8141', 'g_8219', 'g_8220', 'g_8262', 'g_8325', 'g_8508', 'g_8543', 'g_8553', 'g_8570', 'g_859', 'g_8587', 'g_8673', 'g_8739', 'g_8760', 'g_8783', 'g_8791', 'g_8806', 'g_8820', 'g_8898', 'g_8945', 'g_9083', 'g_9140', 'g_9157', 'g_9181', 'g_9221', 'g_9255', 'g_932', 'g_9349', 'g_9440', 'g_12430', 'g_2764', 'g_16518', 'g_16875', 'g_5703', 'g_11000', 'g_11002', 'g_12013', 'g_15604', 'g_5519', 'g_6651', 'g_6911', 'g_6914', 'g_7059', 'g_7171', 'g_7241', 'g_7246', 'g_9178', 'g_9372', 'g_9412', 'g_9543', 'g_1746', 'g_16937', 'g_10051', 'g_10067', 'g_15283', 'g_16969', 'g_1856', 'g_13496', 'g_13692', 'g_13776', 'g_15461', 'g_14260', 'g_15771', 'g_15191', 'g_15223', 'g_7849', 'g_8043', 'g_8539', 'g_15588', 'g_10335', 'g_10367', 'g_15436', 'g_10386', 'g_10543', 'g_10741', 'g_10795', 'g_15652', 'g_11019', 'g_11041', 'g_11104', 'g_2440', 'g_5816', 'g_5909', 'g_5947', 'g_898', 'g_6083', 'g_15531', 'g_3358', 'g_965', 'g_3573', 'g_3598', 'g_3619', 'g_3808', 'g_1030', 'g_2706', 'g_2804', 'g_319', 'g_453', 'g_517', 'g_638', 'g_11586', 'g_12101', 'g_12211', 'g_12705', 'g_12740', 'g_12806', 'g_12858', 'g_12872', 'g_4025', 'g_4605', 'g_15495', 'g_4872']",313,cellular_component,313/1842,313/1844
GO:0005814,centriole,"['g_8', 'g_9715', 'g_10199', 'g_11119', 'g_11339', 'g_11348', 'g_11933', 'g_11990', 'g_12246', 'g_13016', 'g_13234', 'g_13245', 'g_13437', 'g_1343', 'g_14441', 'g_14473', 'g_14719', 'g_2120', 'g_2309', 'g_2340', 'g_2605', 'g_2618', 'g_2701', 'g_3003', 'g_3087', 'g_412', 'g_425', 'g_4781', 'g_5226', 'g_5738', 'g_5778', 'g_6734', 'g_7181', 'g_7373', 'g_7584', 'g_7641', 'g_7993', 'g_8378', 'g_8379', 'g_8455', 'g_8806', 'g_9298', 'g_7139', 'g_1187', 'g_5284', 'g_16969', 'g_14805', 'g_10602', 'g_11221', 'g_2326', 'g_3515', 'g_1030', 'g_1140', 'g_418', 'g_477', 'g_12598', 'g_1451']",57,cellular_component,57/1842,57/1844
GO:0005912,adherens junction,"['g_8', 'g_9645', 'g_96', 'g_9796', 'g_10034', 'g_1017', 'g_1050', 'g_10529', 'g_10899', 'g_11070', 'g_1107', 'g_11119', 'g_11308', 'g_11566', 'g_11970', 'g_12001', 'g_12218', 'g_13198', 'g_13707', 'g_13745', 'g_13959', 'g_14165', 'g_14287', 'g_16984', 'g_14461', 'g_1453', 'g_14645', 'g_15249', 'g_1728', 'g_1887', 'g_1921', 'g_1922', 'g_2616', 'g_2765', 'g_3150', 'g_3512', 'g_3525', 'g_3605', 'g_3740', 'g_3755', 'g_3895', 'g_3950', 'g_3953', 'g_4020', 'g_4336', 'g_4809', 'g_5224', 'g_5510', 'g_5980', 'g_6000', 'g_6040', 'g_6098', 'g_6282', 'g_6511', 'g_6593', 'g_6690', 'g_7233', 'g_7259', 'g_7432', 'g_7445', 'g_7608', 'g_7613', 'g_7681', 'g_7774', 'g_8124', 'g_8136', 'g_8191', 'g_8360', 'g_8412', 'g_8607', 'g_8651', 'g_8697', 'g_8722', 'g_8886', 'g_8898', 'g_9074', 'g_9075', 'g_9339', 'g_9467', 'g_5648', 'g_6594', 'g_1657', 'g_9035', 'g_9329', 'g_9418', 'g_1737', 'g_9961', 'g_13090', 'g_13692', 'g_15261', 'g_15588', 'g_10628', 'g_5653', 'g_15531', 'g_3327', 'g_3399', 'g_3592', 'g_3921', 'g_517', 'g_12533', 'g_12835']",101,cellular_component,101/1842,101/1844
GO:0007098,centrosome cycle,"['g_8', 'g_9908', 'g_10199', 'g_10468', 'g_11339', 'g_11348', 'g_11990', 'g_12155', 'g_12777', 'g_13234', 'g_1343', 'g_13759', 'g_13800', 'g_14500', 'g_14813', 'g_15266', 'g_1567', 'g_1922', 'g_2701', 'g_293', 'g_3003', 'g_4074', 'g_4399', 'g_4781', 'g_5431', 'g_5738', 'g_6587', 'g_7441', 'g_7584', 'g_8455', 'g_852', 'g_9221', 'g_2119', 'g_5284', 'g_14892', 'g_15652', 'g_5662', 'g_3598', 'g_319', 'g_418']",40,biological_process,40/1842,40/1844
GO:0007099,centriole replication,"['g_8', 'g_10050', 'g_11119', 'g_11990', 'g_13016', 'g_13390', 'g_13437', 'g_1343', 'g_13636', 'g_14473', 'g_2672', 'g_2701', 'g_2866', 'g_3003', 'g_3208', 'g_412', 'g_6992', 'g_7256', 'g_7641', 'g_8241', 'g_8493', 'g_7139', 'g_1187', 'g_14805', 'g_12598']",25,biological_process,25/1842,25/1844
GO:0007140,male meiotic nuclear division,"['g_8', 'g_9645', 'g_10249', 'g_10313', 'g_10824', 'g_11070', 'g_11308', 'g_12196', 'g_13921', 'g_14051', 'g_2120', 'g_3003', 'g_3211', 'g_3267', 'g_3803', 'g_5738', 'g_6510', 'g_7641', 'g_8991', 'g_9075', 'g_9345', 'g_5185', 'g_9929', 'g_10628', 'g_2326', 'g_4025']",26,biological_process,26/1842,26/1844
