Gene_ID,accession,go_id,GOterm_depth,category,evidence_code,go_description,distance,model_name,protein_id,organism,gene_name,reliability_index,support_count,collapsed_support,n_collapsed_terms,collapsed_terms,identity,similarity,alignment_score,gaps_percentage,alignment_length,length_query,length_reference
g_1398,anno1.g1452.t1,GO:0001555,4,P,IMP,oocyte growth,0.0109,Ankh3-Large,ITA5_DROME,Drosophila melanogaster (Fruit fly).,ItgaPS5 {ECO:0000312|FlyBase:FBgn0034880},0.9891,3,0,0,,23.8387,40.929,460,17.5285,1141,1082,1000
g_1398,anno1.g1452.t1,GO:0001555,4,P,IMP,oocyte growth,0.0095,ESM,ITA4_DROME,Drosophila melanogaster (Fruit fly).,ItgaPS4 {ECO:0000312|FlyBase:FBgn0034005},0.9905,2,0,0,,24.1176,41.4286,507,19.2437,1190,1082,1069
g_1398,anno1.g1452.t1,GO:0001555,4,P,IMP,oocyte growth,0.0114,ESM3c,ITA4_DROME,Drosophila melanogaster (Fruit fly).,ItgaPS4 {ECO:0000312|FlyBase:FBgn0034005},0.9886,3,0,0,,24.1176,41.4286,507,19.2437,1190,1082,1069
g_1398,anno1.g1452.t1,GO:0001555,4,P,IMP,oocyte growth,0.0102,Prost-T5,ITA4_DROME,Drosophila melanogaster (Fruit fly).,ItgaPS4 {ECO:0000312|FlyBase:FBgn0034005},0.9898,3,0,0,,24.1176,41.4286,507,19.2437,1190,1082,1069
g_1398,anno1.g1452.t1,GO:0001555,4,P,IMP,oocyte growth,0.0367,Prot-T5,ITA4_DROME,Drosophila melanogaster (Fruit fly).,ItgaPS4 {ECO:0000312|FlyBase:FBgn0034005},0.9633,3,0,0,,24.1176,41.4286,507,19.2437,1190,1082,1069
g_1398,anno1.g1452.t1,GO:0001764,4,P,IMP,neuron migration,0.0106,Ankh3-Large,INA1_CAEEL,Caenorhabditis elegans.,ina-1,0.9894,1,2,1,GO:0016477,23.4323,39.6865,454,16.7492,1212,1082,1139
g_1398,anno1.g1452.t1,GO:0001764,4,P,IMP,neuron migration,0.0118,ESM,INA1_CAEEL,Caenorhabditis elegans.,ina-1,0.9882,1,1,1,GO:0016477,23.4323,39.6865,454,16.7492,1212,1082,1139
g_1398,anno1.g1452.t1,GO:0001764,4,P,IMP,neuron migration,0.0157,ESM3c,INA1_CAEEL,Caenorhabditis elegans.,ina-1,0.9843,1,1,1,GO:0016477,23.4323,39.6865,454,16.7492,1212,1082,1139
g_1398,anno1.g1452.t1,GO:0001764,4,P,IMP,neuron migration,0.01,Prost-T5,INA1_CAEEL,Caenorhabditis elegans.,ina-1,0.99,1,1,1,GO:0016477,23.4323,39.6865,454,16.7492,1212,1082,1139
g_1398,anno1.g1452.t1,GO:0001764,4,P,IMP,neuron migration,0.0652,Prot-T5,INA1_CAEEL,Caenorhabditis elegans.,ina-1,0.9348,1,2,1,GO:0016477,23.4323,39.6865,454,16.7492,1212,1082,1139
g_1398,anno1.g1452.t1,GO:0001891,2,C,IDA,phagocytic cup,0.0106,Ankh3-Large,INA1_CAEEL,Caenorhabditis elegans.,ina-1,0.9894,1,0,0,,23.4323,39.6865,454,16.7492,1212,1082,1139
g_1398,anno1.g1452.t1,GO:0001891,2,C,IDA,phagocytic cup,0.0118,ESM,INA1_CAEEL,Caenorhabditis elegans.,ina-1,0.9882,1,0,0,,23.4323,39.6865,454,16.7492,1212,1082,1139
g_1398,anno1.g1452.t1,GO:0001891,2,C,IDA,phagocytic cup,0.0157,ESM3c,INA1_CAEEL,Caenorhabditis elegans.,ina-1,0.9843,1,0,0,,23.4323,39.6865,454,16.7492,1212,1082,1139
g_1398,anno1.g1452.t1,GO:0001891,2,C,IDA,phagocytic cup,0.01,Prost-T5,INA1_CAEEL,Caenorhabditis elegans.,ina-1,0.99,1,0,0,,23.4323,39.6865,454,16.7492,1212,1082,1139
