Gene_ID,accession,go_id,GOterm_depth,category,evidence_code,go_description,distance,model_name,protein_id,organism,gene_name,reliability_index,support_count,collapsed_support,n_collapsed_terms,collapsed_terms,identity,similarity,alignment_score,gaps_percentage,alignment_length,length_query,length_reference
g_9675,anno1.g10045.t1,GO:0000082,5.0,P,IMP,G1/S transition of mitotic cell cycle,0.0633,Prost-T5,A0A1D8PED2_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast).,"SWI6 {ECO:0000313|CGD:CAL0000183437, ECO:0000313|EMBL:AOW26505.1}",0.9367,1,0,0,,16.5161,32.5161,-101,26.7097,775,614,729
g_9675,anno1.g10045.t1,GO:0000138,5.0,C,IDA,Golgi trans cisterna,0.0606,Prost-T5,TBC8_CAEEL,Caenorhabditis elegans.,tbc-8 {ECO:0000312|WormBase:C38H2.1a},0.9394,1,0,0,,17.6279,28.6181,-203,33.8411,919,614,913
g_9675,anno1.g10045.t1,GO:0000212,8.0,P,IMP,meiotic spindle organization,0.2437,Prot-T5,O17666_CAEEL,Caenorhabditis elegans.,"aspm-1 {ECO:0000313|EMBL:CAB07174.1, ECO:0000313|WormBase:C45G3.1}",0.7563,1,0,0,,13.5565,25.1046,-364,49.3724,1195,614,1186
g_9675,anno1.g10045.t1,GO:0000278,3.0,P,IDA,mitotic cell cycle,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,0,0,,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:0000785,2.0,C,IDA,chromatin,0.0122,ESM,CDC10_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,cdc10,0.9878,1,0,0,,14.9746,30.203,-105,24.7462,788,614,767
g_9675,anno1.g10045.t1,GO:0000911,4.0,P,IMP,cytokinesis by cell plate formation,0.02,ESM3c,TPLAT_ARATH,Arabidopsis thaliana (Mouse-ear cress).,TPLATE,0.98,1,0,0,,14.3453,24.1034,-346,50.7089,1199,614,1176
g_9675,anno1.g10045.t1,GO:0000922,2.0,C,IDA,spindle pole,0.2437,Prot-T5,O17666_CAEEL,Caenorhabditis elegans.,"aspm-1 {ECO:0000313|EMBL:CAB07174.1, ECO:0000313|WormBase:C45G3.1}",0.7563,1,0,0,,13.5565,25.1046,-364,49.3724,1195,614,1186
g_9675,anno1.g10045.t1,GO:0000978,8.0,F,IDA,RNA polymerase II cis-regulatory region sequence-specific DNA binding,0.0122,ESM,CDC10_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,cdc10,0.9878,1,0,0,,14.9746,30.203,-105,24.7462,788,614,767
g_9675,anno1.g10045.t1,GO:0001228,4.0,F,IMP,"DNA-binding transcription activator activity, RNA polymerase II-specific",0.0122,ESM,CDC10_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,cdc10,0.9878,1,0,0,,14.9746,30.203,-105,24.7462,788,614,767
g_9675,anno1.g10045.t1,GO:0003729,4.0,F,IDA,mRNA binding,0.0204,Ankh3-Large,Q57VY5_TRYB2,Trypanosoma brucei brucei (strain 927/4 GUTat10.1).,Tb08.29H22.940 {ECO:0000313|EMBL:AAZ13215.1},0.9796,2,0,0,,16.9835,31.052,-150,27.2497,789,614,749
g_9675,anno1.g10045.t1,GO:0003729,4.0,F,IDA,mRNA binding,0.0639,Prost-T5,Q57VY5_TRYB2,Trypanosoma brucei brucei (strain 927/4 GUTat10.1).,Tb08.29H22.940 {ECO:0000313|EMBL:AAZ13215.1},0.9361,1,0,0,,16.9835,31.052,-150,27.2497,789,614,749
g_9675,anno1.g10045.t1,GO:0005085,5.0,F,IMP,guanyl-nucleotide exchange factor activity,0.0123,ESM,A0A2H0ZM88_CANAR,Candidozyma auris (Yeast) (Candida auris).,,0.9877,1,0,0,,12.8035,22.5901,-486,55.8499,1359,614,1345
g_9675,anno1.g10045.t1,GO:0005516,3.0,F,IPI,calmodulin binding,0.2437,Prot-T5,O17666_CAEEL,Caenorhabditis elegans.,"aspm-1 {ECO:0000313|EMBL:CAB07174.1, ECO:0000313|WormBase:C45G3.1}",0.7563,1,0,0,,13.5565,25.1046,-364,49.3724,1195,614,1186
g_9675,anno1.g10045.t1,GO:0005543,3.0,F,IDA,phospholipid binding,0.0125,ESM,CSX2_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,csx2,0.9875,1,0,0,,15.3153,29.1667,-181,32.8829,888,614,870
g_9675,anno1.g10045.t1,GO:0005634,5.0,C,IDA,nucleus,0.0219,Ankh3-Large,Q57XQ0_TRYB2,Trypanosoma brucei brucei (strain 927/4 GUTat10.1).,Tb07.22O10.180 {ECO:0000313|EMBL:AAZ12288.1},0.9781,1,0,0,,17.3579,30.4147,-117,22.1198,651,614,544
g_9675,anno1.g10045.t1,GO:0005634,5.0,C,EXP,nucleus,0.0122,ESM,CDC10_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,cdc10,0.9878,1,0,0,,14.9746,30.203,-105,24.7462,788,614,767
g_9675,anno1.g10045.t1,GO:0005737,2.0,C,IDA,cytoplasm,0.0204,Ankh3-Large,Q57VY5_TRYB2,Trypanosoma brucei brucei (strain 927/4 GUTat10.1).,Tb08.29H22.940 {ECO:0000313|EMBL:AAZ13215.1},0.9796,1,0,0,,16.9835,31.052,-150,27.2497,789,614,749
g_9675,anno1.g10045.t1,GO:0005737,2.0,C,IDA,cytoplasm,0.0631,Prost-T5,Q38F09_TRYB2,Trypanosoma brucei brucei (strain 927/4 GUTat10.1).,,0.9369,2,0,0,,16.4278,28.0044,-195,35.5017,907,614,878
g_9675,anno1.g10045.t1,GO:0005769,8.0,C,IDA,early endosome,0.0606,Prost-T5,TBC8_CAEEL,Caenorhabditis elegans.,tbc-8 {ECO:0000312|WormBase:C38H2.1a},0.9394,1,0,0,,17.6279,28.6181,-203,33.8411,919,614,913
g_9675,anno1.g10045.t1,GO:0005794,5.0,C,IDA,Golgi apparatus,0.2372,Prot-T5,Q9VFX6_DROME,Drosophila melanogaster (Fruit fly).,"TBC1D5 {ECO:0000313|EMBL:AAF54919.1, ECO:0000313|FlyBase:FBgn0038129}",0.7628,1,0,0,,15.9652,31.9303,-92,15.9652,689,614,654
g_9675,anno1.g10045.t1,GO:0005797,5.0,C,IDA,Golgi medial cisterna,0.0606,Prost-T5,TBC8_CAEEL,Caenorhabditis elegans.,tbc-8 {ECO:0000312|WormBase:C38H2.1a},0.9394,1,0,0,,17.6279,28.6181,-203,33.8411,919,614,913
g_9675,anno1.g10045.t1,GO:0005819,5.0,C,IDA,spindle,0.2437,Prot-T5,O17666_CAEEL,Caenorhabditis elegans.,"aspm-1 {ECO:0000313|EMBL:CAB07174.1, ECO:0000313|WormBase:C45G3.1}",0.7563,1,0,0,,13.5565,25.1046,-364,49.3724,1195,614,1186
