Gene_ID,Num_Transcripts,Transcripts_IDs,Transcript_Lengths,Difference_Length,Longest_Transcript,Length
g_16414,1,['anno2.3794_t'],[169],0,anno2.3794_t,169
g_666,1,['anno1.g689.t1'],[208],0,anno1.g689.t1,208
g_667,1,['anno1.g690.t1'],[255],0,anno1.g690.t1,255
g_16419,1,['anno2.3801_t'],[193],0,anno2.3801_t,193
g_668,2,"['anno1.g691.t1', 'anno2.MSTRG.14.2']","[715, 654]",61,anno1.g691.t1,715
g_15358,1,['anno2.MSTRG.15.5'],[189],0,anno2.MSTRG.15.5,189
g_669,2,"['anno1.g692.t1', 'anno1.g692.t2']","[358, 361]",3,anno1.g692.t2,361
g_670,1,['anno1.g693.t2'],[312],0,anno1.g693.t2,312
g_671,3,"['anno1.g694.t1', 'anno2.MSTRG.27.1', 'anno2.MSTRG.27.3']","[512, 492, 512]",20,anno1.g694.t1,512
g_672,12,"['anno1.g695.t1', 'anno1.g695.t2', 'anno1.g695.t3', 'anno1.g695.t4', 'anno1.g695.t5', 'anno2.MSTRG.30.16', 'anno2.MSTRG.30.17', 'anno2.MSTRG.30.18', 'anno2.MSTRG.30.4', 'anno2.MSTRG.30.5', 'anno2.MSTRG.30.7', 'anno2.MSTRG.30.9']","[385, 385, 385, 364, 456, 443, 422, 385, 443, 364, 364, 364]",92,anno1.g695.t5,456
g_673,1,['anno2.5595_t'],[255],0,anno2.5595_t,255
g_16694,1,['anno2.5596_t'],[54],0,anno2.5596_t,54
g_674,2,"['anno1.g697.t1', 'anno2.MSTRG.36.1']","[161, 337]",176,anno2.MSTRG.36.1,337
g_675,2,"['anno1.g698.t1', 'anno2.MSTRG.38.1']","[174, 237]",63,anno2.MSTRG.38.1,237
g_676,1,['anno2.862_t'],[128],0,anno2.862_t,128
g_678,9,"['anno1.g701.t1', 'anno1.g701.t2', 'anno2.MSTRG.40.11', 'anno2.MSTRG.40.12', 'anno2.MSTRG.40.16', 'anno2.MSTRG.40.2', 'anno2.MSTRG.40.5', 'anno2.MSTRG.40.7', 'anno2.MSTRG.40.9']","[780, 769, 776, 773, 783, 764, 777, 794, 769]",30,anno2.MSTRG.40.7,794
g_679,1,['anno1.g702.t1'],[512],0,anno1.g702.t1,512
g_680,1,['anno1.g703.t1'],[462],0,anno1.g703.t1,462
g_681,3,"['anno1.g704.t1', 'anno1.g704.t2', 'anno1.g704.t3']","[580, 582, 570]",12,anno1.g704.t2,582
g_683,1,['anno1.g706.t1'],[715],0,anno1.g706.t1,715
g_684,2,"['anno1.g707.t1', 'anno2.MSTRG.51.1']","[661, 660]",1,anno1.g707.t1,661
g_685,1,['anno1.g708.t1'],[721],0,anno1.g708.t1,721
g_686,1,['anno1.g709.t1'],[1110],0,anno1.g709.t1,1110
g_687,1,['anno1.g710.t1'],[215],0,anno1.g710.t1,215
g_688,1,['anno2.2094_t'],[452],0,anno2.2094_t,452
g_689,2,"['anno1.g713.t1', 'anno2.MSTRG.57.1']","[230, 230]",0,anno1.g713.t1,230
g_690,2,"['anno1.g714.t1', 'anno2.MSTRG.58.1']","[225, 241]",16,anno2.MSTRG.58.1,241
g_691,1,['anno1.g715.t1'],[282],0,anno1.g715.t1,282
g_692,3,"['anno1.g716.t1', 'anno1.g716.t2', 'anno2.MSTRG.60.1']","[343, 340, 226]",117,anno1.g716.t1,343
g_693,2,"['anno1.g717.t1', 'anno2.5693_t']","[514, 547]",33,anno2.5693_t,547
g_694,6,"['anno1.g718.t1', 'anno1.g718.t2', 'anno1.g718.t3', 'anno1.g718.t4', 'anno2.MSTRG.65.5', 'anno2.MSTRG.65.7']","[592, 597, 541, 544, 589, 645]",104,anno2.MSTRG.65.7,645
g_695,1,['anno1.g719.t1'],[1155],0,anno1.g719.t1,1155
g_696,2,"['anno1.g720.t1', 'anno1.g720.t2']","[544, 548]",4,anno1.g720.t2,548
g_697,7,"['anno1.g721.t1', 'anno2.MSTRG.66.11', 'anno2.MSTRG.66.13', 'anno2.MSTRG.66.14', 'anno2.MSTRG.66.4', 'anno2.MSTRG.66.7', 'anno2.MSTRG.66.9']","[660, 660, 570, 570, 660, 660, 660]",90,anno1.g721.t1,660
g_698,1,['anno1.g722.t1'],[389],0,anno1.g722.t1,389
g_699,1,['anno1.g723.t1'],[1254],0,anno1.g723.t1,1254
g_700,1,['anno1.g724.t1'],[188],0,anno1.g724.t1,188
g_701,1,['anno1.g725.t1'],[706],0,anno1.g725.t1,706
g_702,1,['anno1.g726.t1'],[223],0,anno1.g726.t1,223
g_703,1,['anno1.g727.t1'],[78],0,anno1.g727.t1,78
g_704,1,['anno1.g728.t1'],[135],0,anno1.g728.t1,135
g_15682,1,['anno2.MSTRG.76.1'],[65],0,anno2.MSTRG.76.1,65
g_705,2,"['anno1.g729.t1', 'anno1.g729.t2']","[425, 429]",4,anno1.g729.t2,429
g_706,4,"['anno1.g730.t1', 'anno1.g730.t2', 'anno2.MSTRG.78.1', 'anno2.MSTRG.78.2']","[1976, 2156, 2049, 2036]",180,anno1.g730.t2,2156
g_708,1,['anno2.MSTRG.79.1'],[332],0,anno2.MSTRG.79.1,332
g_709,1,['anno1.g734.t1'],[768],0,anno1.g734.t1,768
g_710,1,['anno1.g735.t1'],[85],0,anno1.g735.t1,85
g_711,2,"['anno1.g736.t1', 'anno2.MSTRG.80.1']","[707, 1022]",315,anno2.MSTRG.80.1,1022
g_712,1,['anno1.g738.t1'],[197],0,anno1.g738.t1,197
g_713,2,"['anno1.g739.t1', 'anno2.MSTRG.86.1']","[1008, 1012]",4,anno2.MSTRG.86.1,1012
g_714,1,['anno1.g740.t1'],[498],0,anno1.g740.t1,498
g_715,1,['anno1.g741.t1'],[248],0,anno1.g741.t1,248
g_716,1,['anno1.g742.t1'],[411],0,anno1.g742.t1,411
g_717,1,['anno1.g743.t1'],[493],0,anno1.g743.t1,493
g_718,1,['anno1.g744.t1'],[443],0,anno1.g744.t1,443
g_719,1,['anno1.g745.t1'],[507],0,anno1.g745.t1,507
g_720,4,"['anno1.g746.t1', 'anno1.g746.t2', 'anno1.g746.t3', 'anno2.MSTRG.94.4']","[481, 485, 490, 494]",13,anno2.MSTRG.94.4,494
g_721,1,['anno1.g747.t1'],[296],0,anno1.g747.t1,296
g_16485,1,['anno2.4221_t'],[163],0,anno2.4221_t,163
g_722,1,['anno1.g748.t1'],[595],0,anno1.g748.t1,595
g_724,2,"['anno1.g750.t1', 'anno1.g750.t2']","[1025, 1023]",2,anno1.g750.t1,1025
g_725,1,['anno1.g751.t1'],[705],0,anno1.g751.t1,705
g_15530,1,['anno2.MSTRG.105.1'],[481],0,anno2.MSTRG.105.1,481
g_726,1,['anno1.g752.t1'],[482],0,anno1.g752.t1,482
g_727,1,['anno1.g753.t1'],[217],0,anno1.g753.t1,217
g_728,1,['anno1.g754.t1'],[126],0,anno1.g754.t1,126
g_729,2,"['anno1.g755.t1', 'anno1.g755.t2']","[374, 368]",6,anno1.g755.t1,374
g_730,1,['anno1.g756.t1'],[666],0,anno1.g756.t1,666
g_731,1,['anno1.g757.t1'],[211],0,anno1.g757.t1,211
g_732,1,['anno1.g758.t1'],[402],0,anno1.g758.t1,402
g_733,1,['anno1.g759.t1'],[419],0,anno1.g759.t1,419
g_734,3,"['anno1.g760.t1', 'anno1.g760.t2', 'anno1.g760.t3']","[791, 817, 762]",55,anno1.g760.t2,817
g_735,1,['anno1.g761.t1'],[193],0,anno1.g761.t1,193
g_736,11,"['anno2.MSTRG.117.1', 'anno2.MSTRG.117.10', 'anno2.MSTRG.117.11', 'anno2.MSTRG.117.13', 'anno2.MSTRG.117.17', 'anno2.MSTRG.117.3', 'anno2.MSTRG.117.4', 'anno2.MSTRG.117.5', 'anno2.MSTRG.117.7', 'anno2.MSTRG.117.8', 'anno2.MSTRG.117.9']","[685, 609, 685, 685, 609, 685, 761, 609, 685, 609, 609]",152,anno2.MSTRG.117.4,761
g_737,3,"['anno1.g763.t1', 'anno2.MSTRG.109.1', 'anno2.MSTRG.109.2']","[563, 552, 552]",11,anno1.g763.t1,563
g_738,2,"['anno1.g764.t1', 'anno2.2620_t']","[492, 431]",61,anno1.g764.t1,492
g_739,1,['anno1.g765.t1'],[360],0,anno1.g765.t1,360
g_740,2,"['anno1.g766.t1', 'anno2.MSTRG.125.1']","[640, 1364]",724,anno2.MSTRG.125.1,1364
g_741,1,['anno1.g767.t1'],[420],0,anno1.g767.t1,420
g_742,1,['anno1.g768.t1'],[552],0,anno1.g768.t1,552
g_16612,1,['anno2.4962_t'],[218],0,anno2.4962_t,218
g_744,1,['anno1.g770.t1'],[336],0,anno1.g770.t1,336
g_745,3,"['anno1.g771.t1', 'anno1.g771.t2', 'anno1.g771.t3']","[928, 917, 912]",16,anno1.g771.t1,928
g_748,1,['anno1.g774.t1'],[211],0,anno1.g774.t1,211
g_749,1,['anno1.g775.t1'],[119],0,anno1.g775.t1,119
g_750,1,['anno1.g776.t1'],[382],0,anno1.g776.t1,382
g_751,1,['anno1.g777.t1'],[145],0,anno1.g777.t1,145
g_752,2,"['anno1.g778.t1', 'anno2.5941_t']","[347, 343]",4,anno1.g778.t1,347
g_753,1,['anno1.g779.t1'],[196],0,anno1.g779.t1,196
g_754,1,['anno1.g780.t1'],[157],0,anno1.g780.t1,157
g_755,1,['anno1.g781.t1'],[287],0,anno1.g781.t1,287
g_756,2,"['anno1.g782.t1', 'anno2.4387_t']","[428, 621]",193,anno2.4387_t,621
g_757,1,['anno1.g783.t1'],[450],0,anno1.g783.t1,450
g_758,1,['anno1.g784.t1'],[170],0,anno1.g784.t1,170
g_759,1,['anno1.g785.t1'],[447],0,anno1.g785.t1,447
g_760,1,['anno1.g786.t1'],[169],0,anno1.g786.t1,169
g_761,1,['anno1.g787.t1'],[654],0,anno1.g787.t1,654
g_762,1,['anno1.g788.t1'],[631],0,anno1.g788.t1,631
g_763,1,['anno1.g789.t1'],[215],0,anno1.g789.t1,215
g_764,1,['anno1.g790.t1'],[224],0,anno1.g790.t1,224
g_765,1,['anno1.g791.t1'],[479],0,anno1.g791.t1,479
